"guid","Label","Description","Specification","Type","ResourceType","Dimension","InformationElement","Source","Example implementation"
"5a14e579-8789-4ea8-8de8-ec937033584e","MEASURE_FAMILY_SINGLE_COMPLETENESS","Test to see whether a provided dwc:family contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if family is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","family","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"d54866ad-4cf7-4195-99c4-b241d799b470","MEASURE_FOOTPRINTWKT_SINGLE_COMPLETENESS","Test to see whether a provided dwc:footprintWKT contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if footprintWKT is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","footprintWKT","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"19cd65d9-e924-4a44-9927-4ff825da4593","MEASURE_GENUS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:genus contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if genus is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","genus","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"e5e5d6cd-a120-4910-9bf8-1e6de5605718","MEASURE_GEODETICDATUM_SINGLE_COMPLETENESS","Test to see whether a provided dwc:geodeticDatum contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if geodeticDatum is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","geodeticDatum","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"c7cfb176-234e-4e30-aab0-6730769dcb0a","MEASURE_GEOREFERENCEDATE_SINGLE_COMPLETENESS","Test to see whether a provided dwc:georeferenceDate contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if georeferenceDate is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","georeferenceDate","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"09c48400-dd82-42f1-a605-a2035be8eb9e","MEASURE_GEOREFERENCEVERIFICATIONSTATUS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:georeferenceVerificationStatus contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if georeferenceVerificationStatus is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","georeferenceVerificationStatus","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"00e014d3-2556-4cf7-a70a-dac35d7260d7","MEASURE_HIGHERCLASSIFICATION_SINGLE_COMPLETENESS","Test to see whether a provided dwc:higherClassification contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if higherClassification is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","higherClassification","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"4897044e-1453-4800-ba69-6a00e7e60e51","MEASURE_HIGHERGEOGRAPHY_SINGLE_COMPLETENESS","Test to see whether a provided dwc:higherGeography contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if higherGeography is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","higherGeography","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"e7781304-5579-4827-aa37-704f67269b11","MEASURE_IDENTIFICATIONQUALIFIER_SINGLE_COMPLETENESS","Test to see whether a provided dwc:identificationQualifier contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if identificationQualifier is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","identificationQualifier","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"ffb325a0-49c9-4e25-b42f-fac8db38dfd6","MEASURE_INDIVIDUALCOUNT_SINGLE_COMPLETENESS","Test to see whether a provided dwc:individualCount contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if individualCount is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","individualCount","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
